symptoms,sentences
['Gastrointestinal discomfort'],This is a manifestation of poor intestinal function. You feel swollen. It is because the gas in the intestines has not come out.
['allergy'],You can take this medicine! There will be no allergies.
['Gastrointestinal discomfort'],"Well, consider the symptoms of poor gastrointestinal function."
['fever'],Have a fever?
['intestinal obstruction'],Is it incomplete intestinal obstruction or complete intestinal obstruction? Is there any exhaust?
['Sputum'],"No trouble. If you are unconscious, have a lot of phlegm, or are not breathing well, it is best to tilt your head to one side to avoid suffocation due to phlegm."
['Blood in stool'],Is it convenient to measure blood pressure at home now?
['diarrhea'],Whether there are symptoms of diarrhea.
['indigestion'],"Well, this symptom is mostly caused by weakened gastrointestinal motility and indigestion."
['Bloating'],"Slow gastrointestinal peristalsis, food residues stored in the gastrointestinal tract for too long cause abdominal distension, and slow peristalsis causes the stool to be unable to be discharged completely at one time, and part of it will be discharged when the intermittent peristalsis increases."
"['Bloating', 'Reflux', 'Heartburn']","Are there any symptoms of acid reflux, heartburn, and bloating? Still gastritis and stomach acid."
['Helicobacter infection'],Have you checked Helicobacter pylori?
['diarrhea'],"Hello, do you have any diarrhea symptoms, or pain above or below the belly button."
['diarrhea'],Don't have diarrhea.
['fever'],Have a fever?
['diarrhea'],The complication may be small. Consider whether you have caught a cold or really eaten your stomach.
['hemorrhoid'],"Hello, did you have hemorrhoids before?"
['Blood in stool'],"Well, what is the color of blood in the past two days? Is it a lot? Is there blood on the toilet paper? All answers."
['Perianal pain'],Does the anus hurt when you defecate?
['hemorrhoid'],"Well, it can be basically confirmed that it is hemorrhoids or a bit of anal fissure."
['Gastrointestinal disorders'],"It is estimated that there is intestinal dysfunction, you can buy some Bifidobacterium quadruple live bacteria tablets to eat."
['stomach ache'],"Hello, what medicine did the doctor prescribe? Where does the stomach hurt?"
"['fever', 'nausea', 'Vomit', 'Chills']","Do you have other symptoms such as nausea, vomiting, chills and fever?"
['stomach ache'],Around the belly button? How long has the pain been?
['bitter'],"Okay, do you usually have dry mouth and bitter mouth?"
['diarrhea'],"Sijun Ganluyin, do you have a look at the pharmacy? This is another way of presenting Chinese medicine. If you don’t come to me again, other medicines will be stopped temporarily. If you have a diarrhea more than three times a day, go to the school clinic to prescribe berberine and put it by your side."
['Restless'],Don't worry too much about whether or not you have kidney yang deficiency. You are still young and you should not have anxiety. Stop other medicines for the time being and wait until the spleen deficiency corrects the natural kidney qi and kidney yang.
['Helicobacter infection'],Go to check for Helicobacter pylori infection.
['nausea'],Do you feel nauseous when brushing your teeth in the morning?
['Helicobacter infection'],It is recommended to have a gastric Helicobacter pylori test.
['diarrhea'],Are there any other discomforts? Do you have diarrhea?
['diarrhea'],Is every dull pain accompanied by stool or diarrhea?
"['Blood in stool', 'Sticky stool']",Was there any mucus or blood in the stool during the attack?
['Sticky stool'],Is the mucus in stool similar to nasal mucus? Have you lost weight recently?
['Gastrointestinal disorders'],"At present, the possibility of intestinal dysfunction is considered, but intestinal inflammation is not defecation."
['Gastrointestinal disorders'],"The current recommendation for painful pain: Deshute➕Glutamine➕Pefikang's intestinal health (probiotics). This plan is based on the diagnosis and treatment plan for intestinal dysfunction, and it is also effective for intestinal inflammation."
['indigestion'],"Are your usual eating and living habits good? Are there three irregular meals, overeating, like eating spicy food, cold and hard foods that are not easy to digest, like drinking iced beverages? stay up? Stressed out?"
"['Gastrointestinal disorders', 'Restless']","The human gastrointestinal tract belongs to the smooth muscle. The vagus nerve innervates the gastrointestinal tract. The smooth muscle and the vagus nerve are particularly susceptible to people's anxiety and stress. In addition, staying up late will disrupt the body's rhythm and cause intestinal dysfunction to aggravate."
['Gastrointestinal disorders'],"You can take some medicine to adjust the intestinal function. At present, the possibility of intestinal dysfunction is considered."
['Gastrointestinal discomfort'],"If there is no discomfort in the upper abdomen, it is useless to eat this."
['indigestion'],"Gastrointestinal diseases are three-point medicine and seven-point nourishment. Life recommendations: 1) Pay attention to regular diet in life, eat regularly and quantitatively, do not eat too much, 80% full is enough, avoid eating cold food, avoid eating spicy food, Avoid eating greasy food, avoid drinking strong tea, coffee, alcohol; 2) Do not eat anything 2 hours before going to bed at night; 3) As a health care, you can buy ""Gill Neijin"" boiled water and drink it 2 to 3 times a week. 4) It is not advisable to drink too much water or soup within one hour after meals before meals, so as not to cause indigestion; 5) The gastrointestinal tract is particularly susceptible to emotions, so you need to adjust your emotions; 6) Pay attention to rest, exercise properly, and don't stay up."
"['diarrhea', 'Bloating', 'nausea', 'Vomit', 'Reflux', 'Heartburn']",Do you have nausea and vomiting? Acid reflux heartburn? Bloating and diarrhea. Does everyone have symptoms?
['Bacterial infections'],It is recommended that you go to the hospital for blood routine and stool routine to see if there is a bacterial infection.
"['Bloating', 'stomachache', 'Hiccup', 'Reflux', 'Heartburn']","Do you have acid reflux, heartburn, hiccups, bloating, and stomach pain."
['indigestion'],Are there any indigestible food residues? Um.
['Gastrointestinal discomfort'],"In this case, it is considered that the stomach function is abnormal."
['diarrhea'],Hi! It is recommended that you go to the hospital to check the cause of diarrhea.
['diarrhea'],"Not only gastritis, but gastritis alone will not cause diarrhea."
['Gastrointestinal discomfort'],"Hello! Thanks for your trust. If an adrenal adenoma can cause hypokalemia, it should be a functional adenoma. Do urologists really need no surgery? Oral potassium tablets may indeed irritate the gastric mucosa and cause stomach upset symptoms."
['indigestion'],Your thoughts are the same as my judgment. I also think that potassium chloride cannot explain your previous stomach symptoms. Your stomach symptoms are actually symptoms of functional dyspepsia to a large extent.
['indigestion'],"Because functional dyspepsia is a functional disease, it is not easy to cure, and the symptoms will often come back and forth with uncomfortable symptoms."
['stomach ache'],"I don’t know why so many people have to take Chinese medicine for several months at every turn. Is it really effective? Moreover, there are many side effects of traditional Chinese medicine, such as liver and kidney damage, gastrointestinal reactions and so on. How many times did you have upper abdominal pain in the middle of the night, did you eat more or more greasy dinner before?"
['stomach ache'],"This kind of upper abdominal pain in the middle of the night has several possibilities: 1. The secretion of gastric acid in the fasting state in the midnight and early morning may cause symptoms. 2. Eating too much and greasy dinner for dinner, slow digestion and gastric emptying, and food retention causing symptoms; 3. Chronic cholecystitis, gallbladder stones stimulated by greasy food and causing symptoms."
['stomach ache'],"If your abdominal pain is relieved after you get up, is it alleviated by eating some food?"
['stomachache'],"OK. Then you should adjust the method of taking traditional Chinese medicine. If the symptoms of stomach pain still occur at night, you can replace lansoprazole with 20mg (one capsule) of Nexium, twice a day, half an hour before breakfast and go to bed Take one hour before. Taking an acid-suppressing drug (prazole) before going to bed can control the secretion of gastric acid at night and should relieve the symptoms of stomach pain in the middle of the night."
['Reflux'],"Nexium (esomeprazole) and lansoprazole are both acid-suppressing drugs, which can treat gastritis, gastric erosion, gastric ulcer, gastroesophageal reflux disease and other diseases. This drug can be taken in small doses in the morning and evening, so it is better to control the symptoms at night. If you still have symptoms last night, you can continue taking Nexium for 1-2 weeks. The safety of prazole drugs is still good."
"['Frequent urination', 'Urgency']","Hello, has this happened before, is there any urinary urgency?"
['diarrhea'],"Diarrhea and constipation? Generally, ureteral calculi should be considered first in this situation, and further ultrasound is required."
['diarrhea'],Do you have diarrhea and constipation? What drugs have you taken?
"['stomach ache', 'stomachache']",Chronic gastroenteritis can cause abdominal pain for a longer period of time.
